🇨🇳央视频道,#genre#
福建教育,rtsp://112.111.36.140/PLTV/88888909/224/3221225822/10000100000000060000000001619264_0.smil
福州新闻,rtsp://112.111.36.140/PLTV/88888909/224/3221225836/10000100000000060000000002365466_0.smil
厦门新闻,rtsp://220.200.30.136/PLTV/88888909/224/3221225837/10000100000000060000000002441431_0.smil
漳州新闻,rtsp://112.111.36.140/PLTV/88888909/224/3221225839/10000100000000060000000002442645_0.smil
泉州新闻,rtsp://220.200.30.136/PLTV/88888909/224/3221225838/10000100000000060000000002442472_0.smil
三明新闻,rtsp://112.111.36.140/PLTV/88888909/224/3221225844/10000100000000060000000002473617_0.smil
莆田新闻,rtsp://220.200.30.136/PLTV/88888909/224/3221225841/10000100000000060000000002473202_0.smil
南平新闻,rtsp://112.111.36.140/PLTV/88888909/224/3221225843/10000100000000060000000002473546_0.smil
龙岩新闻,rtsp://220.200.30.136/PLTV/88888909/224/3221225842/10000100000000060000000002473437_0.smil
宁德新闻,rtsp://112.111.36.140/PLTV/88888909/224/3221225840/10000100000000060000000002442816_0.smil

🇨🇳综合频道,#genre#
中国教育1台,rtsp://112.111.36.140/PLTV/88888909/224/3221225976/10000100000000060000000004308955_0.smil
中国教育2台,rtsp://112.111.36.140/PLTV/88888909/224/3221225747/10000100000000060000000000403955_0.smil
中国教育4台,rtsp://112.111.36.140/PLTV/88888909/224/3221225748/10000100000000060000000000403956_0.smil
金鹰卡通,rtsp://112.111.36.140/PLTV/88888909/224/3221225709/10000100000000060000000000400938_0.smil
卡酷少儿,rtsp://220.200.30.136/PLTV/88888909/224/3221225710/10000100000000060000000000400947_0.smil
哈哈炫动,rtsp://220.200.30.136/PLTV/88888909/224/3221225806/10000100000000060000000001551324_0.smil
动漫秀场,rtsp://112.111.36.140/PLTV/88888909/224/3221225773/10000100000000060000000001423252_0.smil
山东教育,rtsp://220.200.30.136/PLTV/88888909/224/3221225705/10000100000000060000000000391773_0.smil
财富天下,rtsp://112.111.36.140/PLTV/88888909/224/3221225704/10000100000000060000000000391508_0.smil
嘉佳卡通,rtsp://220.200.30.136/PLTV/88888909/224/3221225708/10000100000000060000000000400919_0.smil
游戏风云,rtsp://112.111.36.140/PLTV/88888909/224/3221225785/10000100000000060000000001425778_0.smil
乐游,rtsp://220.200.30.136/PLTV/88888909/224/3221225791/10000100000000060000000001506715_0.smil
上海纪实人文,rtsp://220.200.30.136/PLTV/88888909/224/3221225683/10000100000000060000000000390171_0.smil
中国天气,rtsp://220.200.30.136/PLTV/88888909/224/3221225805/10000100000000060000000001551139_0.smil
金鹰纪实,rtsp://112.111.36.140/PLTV/88888909/224/3221225682/10000100000000060000000000390143_0.smil
欢笑剧场,rtsp://220.200.30.136/PLTV/88888909/224/3221225770/10000100000000060000000001418465_0.smil
都市剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225771/10000100000000060000000001418795_0.smil
法治天地,rtsp://112.111.36.140/PLTV/88888909/224/3221225797/10000100000000060000000001507003_0.smil
东方财经,rtsp://220.200.30.136/PLTV/88888909/224/3221225971/10000100000000060000000003359741_0.smil
金色学堂,rtsp://112.111.36.140/PLTV/88888909/224/3221225810/10000100000000060000000001552917_0.smil
生活时尚,rtsp://220.200.30.136/PLTV/88888909/224/3221225807/10000100000000060000000001551440_0.smil
少儿动画,rtsp://112.111.36.140/PLTV/88888909/224/3221225739/10000100000000060000000000402460_0.smil
魅力时尚,rtsp://220.200.30.136/PLTV/88888909/224/3221225740/10000100000000060000000000402461_0.smil
收视指南,rtsp://112.111.36.140/PLTV/88888909/224/3221225741/10000100000000060000000000402493_0.smil
珠峰5G,rtsp://220.200.30.136/PLTV/88888909/224/3221225827/10000100000000060000000001665846_0.smil
热播剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225742/10000100000000060000000000402494_0.smil
经典电影,rtsp://220.200.30.136/PLTV/88888909/224/3221225743/10000100000000060000000000403890_0.smil
IPTV谍战剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225728/10000100000000060000000000401568_0.smil
IPTV相声小品,rtsp://220.200.30.136/PLTV/88888909/224/3221225729/10000100000000060000000000401590_0.smil
IPTV野外,rtsp://112.111.36.140/PLTV/88888909/224/3221225730/10000100000000060000000000401591_0.smil
IPTV法治,rtsp://220.200.30.136/PLTV/88888909/224/3221225731/10000100000000060000000000401625_0.smil
直播室101,rtsp://112.111.36.140/PLTV/88888909/224/3221225814/10000100000000060000000001577927_0.smil
直播室102,rtsp://220.200.30.136/PLTV/88888909/224/3221225815/10000100000000060000000001578108_0.smil
直播室103,rtsp://112.111.36.140/PLTV/88888909/224/3221225816/10000100000000060000000001578310_0.smil
直播室104,rtsp://220.200.30.136/PLTV/88888909/224/3221225817/10000100000000060000000001578311_0.smil
直播室105,rtsp://112.111.36.140/PLTV/88888909/224/3221225818/10000100000000060000000001578312_0.smil
直播室106,rtsp://220.200.30.136/PLTV/88888909/224/3221225819/10000100000000060000000001578313_0.smil
直播室107,rtsp://112.111.36.140/PLTV/88888909/224/3221225820/10000100000000060000000001578315_0.smil
IPTV3+,rtsp://112.111.36.140/PLTV/88888909/224/3221225732/10000100000000060000000000401626_0.smil
IPTV5+,rtsp://220.200.30.136/PLTV/88888909/224/3221225744/10000100000000060000000000403891_0.smil
IPTV6+,rtsp://112.111.36.140/PLTV/88888909/224/3221225735/10000100000000060000000000401650_0.smil
IPTV8+,rtsp://220.200.30.136/PLTV/88888909/224/3221225736/10000100000000060000000000401651_0.smil
爱上4K,rtsp://220.200.30.136/PLTV/88888909/224/3221225965/10000100000000060000000003176328_0.smil

🇨🇳港台频道,#genre#
凤凰中文,http://117.114.153.25:8180/TV00000000000000000069@HHZT
凤凰资讯,http://117.114.153.25:8180/TV00000000000000000068@HHZT
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
中天 新聞,http://23.94.14.225:8848/live.m3u8?c=14
TVBS 新聞,http://23.94.14.225:8848/live.m3u8?c=1
民視 新聞,http://23.94.14.225:8848/live.m3u8?c=2
三立 新聞,http://23.94.14.225:8848/live.m3u8?c=3
三立 iNEWS,http://23.94.14.225:8848/live.m3u8?c=4
東森 新聞,http://23.94.14.225:8848/live.m3u8?c=5
東森 財經新聞,http://23.94.14.225:8848/live.m3u8?c=6
華視 新聞,http://23.94.14.225:8848/live.m3u8?c=7
中視 新聞,http://23.94.14.225:8848/live.m3u8?c=8
台視 新聞,http://23.94.14.225:8848/live.m3u8?c=9
寰宇 新聞,http://23.94.14.225:8848/live.m3u8?c=10
鏡 新聞,http://23.94.14.225:8848/live.m3u8?c=11
凤凰 卫视,http://23.94.14.225:8848/live.m3u8?c=12
公視 新聞,http://23.94.14.225:8848/live.m3u8?c=13



🇨🇳购物频道,#genre#
聚鲨环球,rtsp://112.111.36.140/PLTV/88888909/224/3221225966/10000100000000060000000003969095_0.smil
家有购物,rtsp://112.111.36.140/PLTV/88888909/224/3221225975/10000100000000060000000003969098_0.smil

